is_canceled,lead_time,arrival_date_week_number,arrival_date_day_of_month,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,arrival_month,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,meal_Undefined,deposit_type_Non Refund,deposit_type_Refundable,reserverd/assigned,customer_type_Group,customer_type_Transient-Party,stays_nights
0,3.018292010581023,17.0,20,2,0,0,0,0,0,0,187,32.43480792636286,0,0,4,0,0,0,0,0,0,0,1,0,1,4
0,6.724847870004536,17.0,17,2,0,0,0,0,0,0,0,26.2631721943794,0,0,4,1,0,0,0,0,0,0,0,0,1,1
0,7.729769037930299,8.0,16,2,0,0,0,0,0,0,0,36.51056307562473,0,0,2,1,0,0,0,0,0,0,1,0,1,7
1,7.779121590690199,30.0,23,2,0,0,0,0,0,0,0,44.41936726024344,0,0,7,0,0,0,0,0,0,0,1,0,1,4
0,5.366444173894677,33.0,18,3,0,0,0,0,0,2,0,18.938617266118303,0,0,8,0,0,0,0,0,0,0,1,0,1,3
0,9.305818735561916,37.0,7,2,0,0,0,0,0,0,0,26.43748166424909,0,1,9,0,0,0,0,0,0,0,1,0,1,1
1,8.233381654245216,31.0,1,2,0,0,0,0,0,0,0,21.266886336889414,0,0,8,1,0,0,0,0,0,0,1,0,1,11
1,7.257814697149964,39.0,23,1,0,0,0,0,0,0,0,23.85873676356521,0,0,9,0,0,0,0,0,0,0,1,0,1,2
0,4.536887222459555,21.0,25,2,0,0,0,0,0,0,0,26.175766821019486,0,0,5,1,0,0,0,0,0,0,1,0,1,7
0,8.212778255624341,15.0,13,1,1,0,0,0,0,0,0,17.527962173606532,0,0,4,0,0,0,0,0,0,0,1,0,1,7
1,0.7636625764984941,21.0,19,2,0,0,0,0,0,0,0,17.196431928401875,0,1,5,0,0,0,0,0,0,0,1,0,1,4
0,7.827918328824522,31.0,30,2,2,0,0,0,0,0,0,32.02070828918164,0,1,7,1,0,0,0,0,0,0,1,0,1,2
1,12.275660707391955,2.0,3,2,0,0,0,0,0,0,0,38.23711129029208,0,2,1,1,0,0,0,0,0,0,1,0,1,6
